"Term","NES","padj","LeadingEdgeGenes"
"Response to Type i Interferon",-1.76712591012317,0.00241259268157476,"IRAK1;PSME2;PSMA2;IFNE;PSMA1;PSMB7;PTPN11;AZI2;RBM47;TTLL12;IFIH1;PSMD8;PSMB1;PSMA5;PSMD7;PSMC6;PSMD14;FADD;PSMD1;PSMA6;PSMB3;PSMC1;PSME1;PSMC2;PSMA4;USP27X;USP18;IFITM1;PSMB4;PSMB6;PSMD6;PSMD13;PSMD12;TRIM65;TANK;SHMT2;IFNAR1;PSMB5;RNF185;OAS3;EIF4E2;PSMC5"
"Developmental Growth Involved in Morphogenesis",1.6273267553139,0.00246034639994098,"WNT5A;SEMA5A;PRICKLE1;CDH4;S100B;RIMS1;SEMA7A;PRKCZ;VANGL2;SYT2;CDKL5;NRP1;PTPRS;SEMA6C;BCL11A;TMEM108;RIMS2;TTL;NKD1;PAK1;ULK2;DDR1;MED12;GDI1;FN1;CDH1;SEMA3A;BMPR2;SLC23A2;MAG;RARG;CRABP2;RYK;LIMK1;PTK7;SOX9;ULK1;VCL;NRP2;SYT1;ZFYVE27;TRIM28;SRF;DIP2B;CSF1;KIF26B"
"Mesenchymal Cell Differentiation",1.65484249430478,0.00246034639994098,"WNT5A;SEMA5A;HES1;TNXB;FGF12;SEMA7A;IGF1;TGFB2;NRP1;SEMA4A;SEMA6C;HEYL;HAND2;SEMA3C;NRG1;SMO;DAB2IP;TGFB1I1;EFNB1;ALDH1A2;MARK1;LRP6;DLG5;NOTCH4;BCL2;TBX3;JAG1;FGFR1;FN1;EDNRB;SNAI2;PHACTR4;SEMA3A;MDK;SPSB3;SEMA4C;FAM83D;SEMA3B;MAD2L2;SOX9;TCF7L2;NRP2;TGFB3;TCOF1;EXT1;FERMT2;TRIM28;KDM1A;FGFR2;SMAD4;AXIN2;SEMA6A;EFNA1;AGT;WNT4;SEMA4F;ROCK2;SPRED3;HMGA2;CDH2;SEMA6B;TRIM62;GREM1;SFRP1;HEY2;SMAD7;ZNF750"
"Plasma Lipoprotein Particle Clearance",-1.99769736731631,0.00246034639994098,"APOC1;NR1H4;PCSK9;VLDLR;APOA1;SCARB1;CSK;CNPY2;NCEH1;APOE;ANXA2;LIPA"
"Regulation of Fat Cell Differentiation",1.74421674271642,0.00246034639994098,"WNT5A;JDP2;HES1;FOXO1;PIM1;ZFPM2;ZBTB16;CBX4;LRP5;SAV1;ENPP1;TGFB1I1;ZFP36;ZFP36L2;JAG1;ZBTB7B;LRP3;CMKLR1;CDS1;LPL;SNAI2;CREBL2;SOX13;AXIN1;FERMT2;MMP11;ASXL1;DDIT3;ALOX5;AXIN2;AKT1;CEBPB;PTGS2;ATAT1;E2F1;SIRT1;SORT1"
"Cardiac Ventricle Morphogenesis",1.89673511543906,0.00251730931132246,"SOX4;NPY2R;ZFPM2;TGFB2;HEYL;HAND2;SEMA3C;NRG1;COL11A1;DSP;JAG1;TNNI3;GRHL2;PPP1R13L;GSK3A;UBE4B;CHD7;FGFR2;SMAD4"
"External Encapsulating Structure Organization",1.60910072467136,0.00254358838836303,"MYH11;FSHR;PRICKLE1;NPNT;VIT;COL4A3;COL4A4;ECM2;TNXB;NDNF;MATN2;ADAMTS10;CSGALNACT1;COLQ;ADAMTS15;MMP19;ANTXR2;FSCN1;PRDM5;TGFB2;ADAMTS12;ADAMTS18;FBLN1;MATN3;COL11A1;GPM6B;ADAMTS4;TLL2;LTBP4;NTN4;ADAMTS5;MMP16;COL9A2;DDR1;HPSE;PHLDB1;COL6A1;SPINT1;ADAMTSL5;KIF9;SPINT2;MMP14;OLFML2A;SOX9;COL4A5;GAS6;ANTXR1;EXT1;ERCC2;SERPINH1;AEBP1;MMP11;PXDN;ADAMTSL4;SH3PXD2B;CLASP1;CCDC80;SMPD3;ADAMTS13;COLEC12;SMAD4;AXIN2;EFEMP2;GFOD2;MMP24;DAG1;THSD4;WT1;ADAMTS7;TIMP3;LAMA2;AGT;LAMB2;BCL3;FLRT2;ZNF469"
"Protein n Linked Glycosylation",-1.79223133789336,0.00258121344934853,"HEXB;MGAT4A;MGAT5;TMEM165;DAD1;ALG3;STT3B;OSTC;ALG1;RPN1;STT3A;MAN2A1;SRD5A3;GFPT1;RPN2;ALG8;GANAB;ALG5;NUS1;B4GALT1;UBE2J1;TUSC3;PGM3;OST4;FUT11;ALG10;DPAGT1;PMM2;DDOST;DOLPP1"
"Outflow Tract Morphogenesis",1.84400326017025,0.00258926596769417,"PRICKLE1;HES1;NPY2R;ZFPM2;TGFB2;JUN;NRP1;SMAD6;HEYL;HAND2;SEMA3C;GJA5;GREB1L;TBX3;JAG1;BMPR2;DVL2;NRP2;GATA6;FGFR2;SMAD4"
"Embryonic Organ Development",1.52282419545302,0.00278341275500751,"ID3;WNT5A;PRICKLE1;SOBP;HES1;NR4A3;ZFPM2;MFAP2;VANGL2;VASH2;HOXC4;FZD5;LLGL2;TGFB2;JUNB;ALX4;CDKN1C;PDGFB;HAND2;COL11A1;SMO;CITED1;GJA5;GREB1L;KCNQ1;ALDH1A2;MYB;TEAD3;SOCS3;MMP16;KRT8;TBX3;MED12;IL10;FGFR1;PBX3;TECTA;E2F8;PCSK5;PAX8;SUFU;TEAD2;PHACTR4;SPINT1;PRDM1;TEAD1;SPINT2;PLCD3;GRHL2;PPP1R13L;MMP14;FOXG1;RARG;FOXL2;VPS52;PTK7;EGFR;NDRG4;SOX9;APLNR;HS6ST1;DVL2;EPN1;TULP3;KRT19;PLK4;SOX15;DLX5;PDGFA;TRIM28;TSHZ1;SRF;CHD7;FZD3;MDFI;ARID2;CHRNA10;FGFR2;TEAD4;PTCH1;STRC;E2F7;AKT1;NR2F2"
"Positive Regulation of Cell Cycle",1.54827327637513,0.00284066609703651,"WNT5A;HES1;BUB1;PIM1;NR4A3;LRP5;UBE2C;KIF23;NCAPG;IGF1;TGFB2;BIRC5;PDGFB;CCND2;INSR;RCC2;NUMA1;TTL;PLK1;DLGAP5;LRP6;CEP120;TBX3;POC1A;IL10;FGFR1;ESPL1;CSPP1;KIF14;CDK1;E2F8;CHEK1;CDC20;SMC6;HSPA2;SKA3;FAM83D;PAF1;FOXG1;PHIP;RBM46;FBXO5;EGFR;SPAG5;ATRX;CIT;RAD51B;CDC25B;PLK4;SOX15;PKN2;NCAPH;BRCA2;CDC14A;NUSAP1;KLHL18;SMPD3;NCAPD2;DTL;DBF4B;FGFR2;CDC6;NCAPH2;MAD1L1;CENPV;E2F7;AKT1;NCAPD3;INCENP;SH2B1;USP19;MEPCE;NDC80;CCNB1;CCDC15;CDC7;MARK4;WNT4;ROCK2;GLI1;TAL1;DDX11"
"Response to Bmp",1.71800106759615,0.00284066609703651,"WNT5A;SMAD9;VWC2;ID1;SFRP4;HES1;HTRA1;CRIM1;ADAMTS12;SMAD6;HEYL;SKIL;NUMA1;TOB1;FSTL3;ITGA3;EGR1;NEO1;SMAD1;SPINT1;ZNF423;BMPR2;GPR155;SOX9;UBE2O;ACVR2B;EXT1;GDF7;FSTL1;DLX5;SCUBE3;GATA6;SMPD3;SMAD4;TRIM33;GDF6;HIVEP1;ADAMTS7;TWSG1;SMURF2;KDR;GREM1;SFRP1;BMP8A;SMAD7"
"Cardiac Septum Morphogenesis",1.8386263063433,0.00289334702997684,"SOX4;HES1;ZFPM2;SAV1;VANGL2;TGFB2;NRP1;SMAD6;HEYL;SEMA3C;SMO;GJA5;TBX3;JAG1;BMPR2;APLNR;NRP2;GATA6;CHD7;FGFR2;SMAD4"
"Detoxification",-1.69602405392051,0.00324237023759226,"MT3;ABCB6;DUOX2;NQO1;SOD2;PRDX3;MGST1;PTGES;IPCEF1;PRDX6;CAT;PRDX4;RDH11;PARK7;APOE;PRDX1;MT1X;TXN;TXNDC17;SLC30A1;GSTT1;SRXN1"
"Positive Regulation of Axon Extension",1.91413282585377,0.00324237023759226,"SEMA5A;CDH4;SEMA7A;CDKL5;NRP1;PAK1;GDI1;FN1;BMPR2;LIMK1;ZFYVE27;SRF"
"Sulfur Compound Metabolic Process",-1.56596365826171,0.00324237023759226,"PGK1;CROT;IDH1;ELOVL6;MVK;PDK1;ACLY;HSD17B12;MVD;SOD2;NME1;ETHE1;SLC19A3;DLAT;TPK1;TECR;HMGCS1;BPHL;PAPSS2;FASN;SLC1A2;ACSS2;PPT1;HSD17B4;ACSL1;ACSL3;GCLM;GSTT2;PDK3;FITM2;ACOT7;HMGCR;GSTT1;PCCA;GPAM;MTHFD1;GLO1;FAR1;ELOVL5;ACSL4;PANK1;MCCC2;SUCLG1;ACACA;ACOT4;PMVK;GSTP1;OXSM;DLD;BHMT2;MCEE;GPX1;ACOT9;DGAT2;MLYCD;PTER;NUDT8;CHST2;ENOPH1;DBT;HAGH;SLC19A2;AKR1A1;PDHB;ARL6IP5;VNN1;DGAT1;PAPSS1;CRYAB;TKTL1;GCDH;MTHFD2L;SOD1;TXN2;ABCC2;STAT5B;CBR4;SLC5A6"
"Chromosome Segregation",1.51815526563559,0.00325126806652999,"PRICKLE1;ASPM;KIFC1;BUB1;CCNB1IP1;KIF11;TTK;UBE2C;MKI67;KIF23;NCAPG;DPF3;BIRC5;CENPE;BUB1B;CENPA;PRC1;DUSP1;RCC2;KIF2C;NUMA1;SMARCC2;KIF15;TTL;PLK1;KIF4A;MYBL2;DLGAP5;BRCA1;KIF18A;BCL7A;HJURP;SKA2;ESPL1;KIF14;CDK1;ZWINT;DPF2;CDC20;SMC6;TOP2A;SMARCA2;CEP55;SKA3;CEP192;PSMC3IP;MIS18A;FAM83D;UVRAG;MAPRE3;MAP9;FBXO5;MAD2L2;AKAP8L;SPAG5;DIAPH3;CENPO;MZT1;BRD7;GEM;RMI2;HECW2;CENPF;ERCC2;FLNA;EHMT2;NCAPH;BAG6;SUN1;OFD1;CENPL;NUSAP1;CLASP1;FANCD2;NCAPD2;KIF22;ARID2;USP44;CDC6;NCAPH2;PTTG1;MAD1L1;CENPV;CHMP4C;NCAPD3;ANAPC2;ARID1B;INCENP;CEP97;PMF1;NEK2;BEX4;ARID1A;LCMT1;NDC80;CCNB1;SIRT1;CTCF;DCTN2;ZCWPW1;CHMP1B;DYNLRB1;GOLGA2;KIF18B;STIL;PPP2R1B;NCAPG2;IK;TNKS;SMARCC1;AAAS;STAG2;HNRNPU;CHFR;EML3;RB1;HAUS4;SMARCD1;CCDC61;TPR;CENPK;RRS1"
"Muscle Cell Proliferation",1.67119554137631,0.00326036670992644,"PIM1;NDRG2;NR4A3;ZFPM2;IGFBP3;FOS;SAV1;IGF1;TGFB2;JUN;PDGFB;IGFBP5;NRG1;HPGD;MYOCD;ANG;PIK3CA;PIK3R1;FOXP1;HMOX1;PAK1;IL10;FGFR1;VGLL4;CDK1;PDGFD;SMAD1;THBS1;KLF4;HBEGF;BMPR2;TNFAIP3;NDRG4;TCF7L2;TGFB3;NOTCH3;MEF2D;CTNNBIP1;GATA6;DDIT3;IL18;SMPD3;ARID2;FGFR2;SIX5;AKIRIN1;EFEMP2;AKT1"
"Protein Rna Complex Organization",-1.53060570405187,0.00328538394412877,"GAPDH;NOL3;EIF3I;DKC1;SRPK2;RPF2;RUVBL1;SNRNP40;SHQ1;PRMT5;EIF3B;RRP7A;RPL38;HSP90AB1;SNIP1;MRTO4;TXNL4A;NDUFAB1;DDX1;PTGES3;RPS28;NSUN4;ATR;SNRPD3;RUVBL2;FAF2;EIF2S2;SF3B5;RPL5;RPSA;SNRPD2;HSP90AA1;RPS6;USP39;RNU6ATAC;SNRPD1;MTG1;SNRPA1;SNRPG;NVL;LSM4;TGS1;SYNCRIP;USP4;RPL13A;PRKDC;CLP1;WDR77;RPS14;RPS19;RPL11;SNRPB2;VCP;SRPK1;XRCC5;PHF5A;SNRPB;DICER1;SNRNP25;DHX9;SNRNP48;GEMIN6;SNRNP200;LSM5;FASTKD2;SNRPC;KIF5B;SF3B3;RPS27L;RNU2-1;TUFM;RNU5E-1;SNRPE;EIF3K"
"Ossification",1.5070228458637,0.00333167552688892,"ID3;WNT5A;SMAD9;PRICKLE1;NPNT;DCHS1;ID1;PDLIM7;CASR;EGR2;CRIM1;TNFSF11;ZBTB16;LRRC17;SEMA7A;CSGALNACT1;LRP5;IGFBP3;BMP3;IGF1;JUNB;ADAMTS12;MRC2;IGFBP5;SMAD6;HAND2;ENPP1;SMO;GPM6B;CITED1;TOB1;VCAN;DHH;FSTL3;CEBPD;MMP16;BCL2;JAG1;PLXNB1;LTBP3;MN1;LRP3;FGF18;SMAD1;SUFU;COL6A1;SNAI2;KLF10;CDK6;FOSL2;IGFBP2;BMPR2;MDK;THBS3;MMP14;BCOR;TPM4;FBXO5;EGFR;GABBR1;SOX9;ACVR2B;EXT1;ERCC2;NAB2;CTNNBIP1;FERMT2;DLX5;SCUBE3;LIMD1;RBMX;CLEC11A;CSF1;SMPD3;WWOX;FGFR2;SMAD4;PHEX;PTCH1;ALOX5;AXIN2;CHSY1;NAB1;AKT1"
"Cell Substrate Adhesion",1.48892648647574,0.00338429812453914,"VWC2;NPNT;VIT;ECM2;LIMCH1;NPY2R;TNXB;JUP;NDNF;BCAM;KANK1;FAT2;ARHGAP6;SORBS1;ADAMTS12;FBLN1;NRP1;PDGFB;ITGB5;SMAD6;MERTK;GPM6B;RCC2;THSD1;TGFB1I1;SNED1;STON1;LDB1;ITGA9;SRGAP2;VCAM1;SORBS3;PIK3R1;ITGA3;NTN4;FZD4;BCL2;JAG1;DDR1;ACTG1;FN1;HPSE;PTPRK;TECTA;KIF14;THBS1;AXL;EPDR1;CDK6;MICALL2;MDK;TESK1;THBS3;MMP14;TMEM8B;GSK3A;DOCK1;TESK2;CSPG5;VCL;GAS6;ANTXR1;ATXN3;FERMT2;TRIP6;TYRO3;FLNA;SRF;PARVB;CSF1;MEGF11;CLASP1;CCDC80;ADAMTS13;SPRY4;RRAS;LPXN;STRC;EFEMP2"
"Sensory System Development",1.50131991482416,0.0034262745326248,"SOX4;WNT5A;PRICKLE1;NDP;FAT3;VSTM4;LRP5;MFAP2;FOS;FZD5;TGFB2;JUN;SALL2;CDKN1C;ADAMTS18;NRP1;RPGR;MERTK;SKIL;PTPRM;SHROOM2;NKD1;ALDH1A2;SLC25A25;TUB;FZD4;BCL2;TTC8;ULK2;JAG1;MAB21L2;VIM;PBX3;AQP1;TMOD1;SCAPER;C3;PHACTR4;KLF4;FOXP2;PRDM1;SEMA3A;BMPR2;NTRK2;ROM1;TOPORS;GRHL2;PPP1R13L;RARG;FOXL2;SGCD;STAU2;EGFR;SOX9;TSPAN12;ACVR2B;TULP3;RING1;CTNS;PXDN;SRF;SH3PXD2B;CHD7;MEGF11;TGIF2;FZR1;SIX5;DTNBP1;NR2E3;PROM1;ZHX2;CACNA1C;MAB21L1;DAG1;WT1;ZNF513;EFNA5;ATP8A2;TWSG1;KDM2B;LAMB2;SPRED3;MEIS3"
"Carbohydrate Metabolic Process",-1.39517643729087,0.00386044104535786,"PGK1;LDHA;MLXIPL;IDH1;ALDOC;ENO2;SLC2A1;UCP2;SLC2A6;UCHL1;PDK1;HEXB;GK5;GNPDA1;TPI1;BOLA3;ENO1;KL;GAPDH;SORD;MPI;GPI;NUDT5;PFKP;PFKFB4;DLAT;GM2A;HK2;IGF2;PGAM1;PPP1CC;AKR1B1;AGL;ANGPTL3;PGAM4;NR3C1;RORA;PYGL;ALDH1B1;FUCA2;MFSD8;ERRFI1;FABP5;SLC4A4;GALT;GYG2;LIPA;EPM2A;ST3GAL6;ALDOA;PRKAA1;MAN2A1;GK;PDK3;HKDC1;GYS1;TPD52L2;FBN2;NHLRC1;GBE1;PFKFB3;SLC39A14;LCT;MANBA;GALE;GLO1;CLTC;PGD;HAS2;GANAB;FUCA1;GCNT3;HYAL3;GALM;RPE;NEU1;FBP1;SLC2A8;GLB1;DHTKD1;B4GALT1;POFUT1;PSEN1;PHKA1;MTCH2;NAGA;PGM2;GALNT7;GOT1;UXS1;GALNT3;GCNT4;PGM3;PPP1R3G;PRKAG2;SLC25A13;DGAT2;LHCGR;MLYCD;B4GALT2;GSK3B;NLN;SCP2;COQ3"
"Positive Regulation of Endothelial Cell Proliferation",1.75162645339694,0.0038882617525598,"WNT5A;SEMA5A;AKT3;NR4A1;VASH2;JUN;NRP1;PDGFB;EGR3;ANG;HMGB2;F3;HMOX1;IL10;FGFR1;TNFSF12;PRKD2;MDK;APLNR;NRP2"
"Negative Regulation of Mitotic Cell Cycle Phase Transition",1.61722880878282,0.00391932495627041,"BUB1;TTK;BIRC5;BUB1B;KANK2;DUSP1;IER3;PLK1;BRCA1;DACT1;BCL2;ZFP36L2;MBTPS1;CDK2;CDK1;BRSK1;CHEK1;ZWINT;CDC20;KLF4;TP53;DGKZ;SKA3;ORC1;FBXO5;CTDSP2;PLK3;MAD2L2;CDK5RAP3;BRD7;CENPF;GPNMB;DTL;USP44;FZR1;FOXO4;RFWD3;CDC6;BARD1;MAD1L1;E2F7;HUS1B;CHMP4C;RBBP8;INCENP;FBXO31;LCMT1;NDC80;CCNB1;UIMC1;FOXN3;CDC7;TRIM39;DYNLRB1;IK;BLM;CTDSP1;CDK2AP2;CTDSPL;FBXO7;CHFR;RB1"
"Regulation of Neuron Projection Development",1.51795143473642,0.00391932495627041,"WNT5A;SEMA5A;CDH4;DBN1;HES1;GRID2;UST;NDNF;FAT3;SEMA7A;PAK3;CNTN1;ROBO3;KANK1;CDKL5;CAMK1;ULK4;NRP1;PTPRS;TIAM2;SEMA6C;SKIL;PPP2R5B;BCL11A;DAB2IP;APBB1;MARK1;KIF13B;NGEF;ARHGAP33;FZD4;PAK1;ULK2;PLXNB1;ARHGAP44;VIM;DDR1;FEZ1;KIDINS220;CSMD3;SF3A2;KNDC1;GDI1;FGFR1;LZTS1;FN1;BRSK1;NEO1;SMAD1;CDH1;CDC20;FYN;GPC2;KIF1A;CHODL;KLF4;ZDHHC15;SEMA3A;BMPR2;PTPRD;MDK;NTRK2;MAPRE3;MAG;CRABP2;RYK;GSK3A;LIMK1;PTK7;STAU2;NDRG4;PARP6;ULK1;SYNGAP1;HECW2;CNTN2;EFHC2;PAQR3;ZFYVE27;AVIL"
"Regulation of Developmental Growth",1.57186467101907,0.00408206001785727,"WNT5A;HOPX;SEMA5A;CDH4;RIMS1;SOCS2;PIM1;ZFPM2;SEMA7A;COLQ;SAV1;SYT2;CDKL5;IGF1;NRP1;PTPRS;SEMA6C;NRG1;INSR;BCL11A;SMO;RIMS2;TTL;PIK3CA;TLL2;LIN7B;FOXP1;BCL2;PAK1;ULK2;GDI1;FGFR1;FN1;CAPN3;VGLL4;CDK1;CDH1;FOSL2;SEMA3A;BMPR2;SLC23A2;WWC3;MAG;CRABP2;RYK;GSK3A;LIMK1;WWC2;ULK1;SYT1;ZFYVE27;SOX15;SRF;GATA6;DIP2B;CSF1;CHD7"
"Mitochondrial Respiratory Chain Complex Assembly",-1.83445627821364,0.00418600466808935,"NDUFS3;TIMMDC1;NDUFAF1;COA5;TACO1;AIFM1;NDUFS8;NDUFS5;CMC1;TFAM;NDUFA6;OCIAD2;TMEM126A;NDUFC2;COX16;UQCRFS1;SLC25A33;CHCHD7;FASTKD3;NDUFAF2;LYRM2;ATPAF2;NDUFA13;NDUFS4;HIGD1A;ATPAF1;TMEM186;NDUFS1;COX11;SCO1;SDHAF2;LYRM7;TMEM70;TMEM126B;NDUFS6;SURF1;FOXRED1;COX7A2L"
"Regulation of Canonical Wnt Signaling Pathway",1.5847345974492,0.00459718978664793,"SOX4;WNT5A;SEMA5A;PRICKLE1;ASPM;SFRP4;CDH3;FOXO1;JUP;DAAM2;KANK1;BICC1;ZNRF3;DAB2IP;IGFBP1;LMBR1L;NKD1;TMEM88;SFRP5;MEST;DACT1;CDK14;WNK3;EGR1;NRBP2;PPM1B;SNAI2;IGFBP2;SOX13;APC2;GPC5;MDK;CSNK1E;GSK3A;SPIN4;AXIN1;PTK7;NPPA;EGFR;MAD2L2;SOX9;TCF7L2;CTNNBIP1;DLX5;LIMD1;DDIT3;PLEKHA4;FGFR2;SMAD4;FRAT1;AXIN2;RNF146"
"Myoblast Differentiation",1.74215195613157,0.00495340330633055,"SOX4;ID3;PRICKLE1;IGFBP3;IGF1;DPF3;NRG1;SMARCC2;MYOCD;MAP3K5;TBX3;JAG1;CAPN3;SMARCA2;PLEKHM3;SOX9;TCF7L2;BRD7;SOX15;SRF;DDIT3;IL18;ARID2;AKIRIN1;ARID1B;ARID1A;IFRD1;GREM1;SMARCC1;RBM24;ZFHX3;RB1;SMARCD1"
"Neuron Migration",1.66262763371911,0.00501648841569994,"ASPM;DDIT4;NDNF;FAT3;MATN2;ROBO3;CDKL5;FBXO41;ULK4;NRP1;DAB2IP;MARK1;UNC5D;SRGAP2;ITGA3;MEST;FILIP1;ASTN1;ARHGEF2;FGFR1;LRP12;CHL1;NEO1;FYN;AXL;SEMA3A;NR4A2;CELSR2;MDK;NTRK2;FOXG1;GPR173;MDGA1;NRP2;GAS6;CNTN2;TUBA1A;FLNA;SRF;KIRREL3;FZD3;UNK"
"Cellular Oxidant Detoxification",-1.84987684047058,0.00525756828599554,"MT3;DUOX2;NQO1;SOD2;PRDX3;MGST1;PTGES;IPCEF1;PRDX6;CAT;PRDX4;PARK7;APOE;PRDX1;TXN;TXNDC17;GSTT1;SRXN1"
"Cellular Response to Oxygen Radical",-2.05231930129449,0.00530970526524782,"MT3;NQO1;SOD2;PARK7;PRDX1"
"Regulation of Epithelial Cell Proliferation",1.54012406444914,0.0054418389885449,"ATOH8;IQGAP3;WNT5A;SEMA5A;COL4A3;CDH3;HES1;AKT3;NR4A3;NR4A1;SAV1;VASH2;IGF1;TGFB2;JUN;CDKN1C;LIMS2;NRP1;PDGFB;EGR3;ERBB2;PTPRM;SMO;DAB2IP;ANG;ALDH1A2;HMGB2;SCN5A;F3;ZFP36;HMOX1;IL10;FGFR1;PTPRK;FGF18;TNFSF12;THBS1;EDNRB;SNAI2;CDK6;REG3G;FOXP2;PRKD2;TNFAIP3;MDK;NLRC3;ESRP2;EGFR;CYP7B1;SOX9;APLNR;TCF7L2;NRP2"
"Positive Regulation of Cell Projection Organization",1.51415663393136,0.00553153756080811,"WNT5A;SEMA5A;CDH4;DBN1;NDNF;SEMA7A;CNTN1;ROBO3;CDKL5;FSCN1;CAMK1;NRP1;TIAM2;SKIL;PPP2R5B;BCL11A;ANLN;EPS8;DAB2IP;APBB1;PIK3CA;PIK3R1;CEP120;FZD4;PAK1;PLXNB1;DDR1;FEZ1;KIDINS220;SF3A2;GDI1;FGFR1;FN1;PALM;KCTD17;SMAD1;FYN;GPC2;CHODL;ZDHHC15;BMPR2;PTPRD;MDK;NTRK2;CDC42EP1;MAPRE3;DLG4;CRABP2;RYK;LIMK1;ZMYND8;PTK7;STAU2;NDRG4;PARP6;DVL2;TGFB3;ZFYVE27;AVIL;SRF;PROM2;DVL3"
"Positive Regulation of Fibroblast Proliferation",1.84704856607512,0.00561860300829749,"WNT5A;IGF1;JUN;FBLN1;PDGFB;CCNA2;FN1;AQP1;PDGFD;CDK6;FOSL2;EGFR;GAS6;PDGFA;CDC6;ESR1;PDGFC;E2F1;CCNB1;AGT"
"Amide Biosynthetic Process",-1.67792295638742,0.00566928909777867,"PGK1;ELOVL6;PDK1;ACLY;HSD17B12;DLAT;TPK1;TECR;FASN;SLC1A2;ACSS2;PPT1;NANP;SPTLC2;ACSL1;ACSL3;GCLM;PRKAA1;PDK3;SPTSSA;ACOT7;AGMAT;PCCA;AGK;ELOVL5;ACSL4;PANK1;OSBP;MECR;SGMS2;PAM;ACACA;DLD;MCEE;KDSR;MLYCD;FH;SGMS1;SPTLC1;ASAH1"
"Long Chain Fatty Acyl Coa Metabolic Process",-2.04659093829162,0.00580246373252417,"ELOVL6;HSD17B12;TECR;ACSL1;ACSL3;ACOT7;FAR1;ELOVL5;ACSL4"
"Protein Insertion into Membrane",-1.89590977667105,0.00612538498710186,"NOMO1;SAMM50;TOMM5;TOMM40;TRAM2;TMEM147;TIMM8B;AGK;TOMM6;UBL4A;TIMM10;CCDC47;MTX3;ROMO1;TIMM13;TMEM126A;MTCH2;SEC61A1;NOMO2;TIMM8A;NCLN;SGTA;TMCO1;TIMM22"
"Nucleoside Monophosphate Metabolic Process",-1.81879783371464,0.00615453888904768,"AK4;AK7;AK2;CASK;PAICS;APRT;DGUOK;GMPS;IMPDH2;PNP;NUDT2;AMPD3;UPP1;DCTD;ATIC;HPRT1;MPP1"
"Establishment of Protein Localization to Mitochondrial Membrane",-1.95487052347223,0.00632988578785921,"SAMM50;TOMM5;TOMM40;TIMM8B;AGK;TOMM6;TIMM10;MTX3;ROMO1;TIMM13;TMEM126A;MTCH2;TIMM8A"
"Golgi Vesicle Transport",-1.47709206617721,0.00632988578785921,"SNX8;BCAP31;CSK;ERGIC1;GOLGA7;MIA3;CTAGE9;COPB1;SCFD1;VAPB;TRAPPC3;TMED3;KDELR2;COPB2;ACSL3;TMED9;YIF1A;ZW10;GAS1;LMAN1;NRBP1;TBC1D14;AP3M2;LMAN2L;ARL8B;SEC22A;EHD3;PSMD14;CNIH4;KIF13A;ERGIC3;SNX3;GOSR2;TMED2;COG6;RAB6A;TMED5;RP2;SEC24D;VAMP4;ARF3;SEC23A;SEC24A;RAB1A;SNX2;COG2;COPZ1;GOLT1B;INSIG1;ARL3;DNM2;GABARAPL2;PDCD6;PREPL;BET1;ATL3;AP3S1;SEC23B;AP1AR;COPA;EXOC6B;PREB;SPTBN1;VAMP3;VTI1A;SAR1A;GOLPH3L;CCDC93;SEC22B;ERGIC2;PKDCC;USO1;YIF1B;LYPLA1;ANK1;YKT6;CLN3;AP3S2;TRAPPC5;VCP;ARFGAP3;NAPG;CREB3L2;COMMD1;MCFD2;BET1L;RAB11A;RER1;LAPTM5;ARCN1"
"Positive Regulation of Cell Cycle Process",1.59393480187533,0.00632988578785921,"WNT5A;BUB1;LRP5;UBE2C;KIF23;NCAPG;IGF1;BIRC5;PDGFB;CCND2;INSR;RCC2;NUMA1;PLK1;DLGAP5;CEP120;POC1A;FGFR1;ESPL1;CSPP1;KIF14;CDK1;E2F8;CDC20;SMC6;HSPA2;SKA3;FAM83D;PAF1;PHIP;FBXO5;EGFR;SPAG5;ATRX;CIT;RAD51B;CDC25B;PLK4;SOX15;PKN2;NCAPH;CDC14A;NUSAP1;KLHL18;SMPD3;NCAPD2;DTL;DBF4B;CDC6;NCAPH2;MAD1L1;CENPV;E2F7;AKT1;NCAPD3;INCENP;SH2B1;USP19;MEPCE;NDC80;CCNB1;CCDC15;CDC7;WNT4;ROCK2;GLI1;DDX11;DYNLRB1;DDR2;STIL;NCAPG2;SIN3A;SVIL;HNRNPU"
"Lipid Catabolic Process",-1.52829581252912,0.00659930239220599,"CROT;IDH1;PNPLA3;DECR1;APOC1;SMPDL3A;HEXB;GALC;HSD11B1;SCARB1;LPIN1;GM2A;PLBD1;PRDX6;NCEH1;ABHD5;DDHD2;ANGPTL3;APOE;HSD17B6;PPT1;HSD17B4;LIPA;ABHD6;PRKAA1;SRD5A3;FITM2;PLD2;ACOT7;ACOX1;TBL1XR1;HINT2;ETFB;PCCA;LCT;HCAR3;ACBD5;FUCA1;NEU1;ETFA;ACER2;GLB1;ECH1;ECHS1;ABHD12B;NAGA;HADH;MCEE;IVD;HCAR2;LIPH;RARRES2;ABHD4;MLYCD;SCP2;NUDT8;DECR2;ABHD3;ABHD2;ASAH1;ETFDH;MFSD2A"
"Detoxification of Inorganic Compound",-2.06549878939657,0.0066226447864933,"MT3;ABCB6;CAT;PARK7;MT1X;TXN;SLC30A1"
